日期,大戶持股比(%),散戶持股比(%),大戶人數,散戶人數
2025-04-18,79.55,10.89,494,281362
2025-04-25,79.69,10.8,492,279277
2025-05-02,79.75,10.69,489,277256
2025-05-09,80.32,10.36,497,269729
2025-05-16,81.1,9.86,505,259517
2025-05-23,80.97,9.96,502,261433
2025-05-29,81.12,9.84,504,258885
2025-06-06,81.77,9.4,509,249003
2025-06-13,82.01,9.22,505,244706
2025-06-20,82.21,9.16,507,243017
2025-06-27,82.69,8.9,502,237084
2025-07-04,82.63,8.92,504,238296
2025-07-11,82.51,9.01,507,240104
2025-07-18,82.17,9.27,512,245359
2025-07-25,81.82,9.48,506,249429
2025-08-01,82.37,9.15,513,243316
2025-08-08,83.0,8.79,521,235622
2025-08-15,81.8,9.49,504,251048
2025-08-22,80.73,10.18,490,264765
2025-08-29,80.49,10.32,480,268485
2025-09-05,80.05,10.59,476,272603
2025-09-12,80.32,10.47,467,271976
2025-09-19,80.93,10.1,467,264531
2025-09-26,81.74,9.65,490,255278
2025-10-03,82.33,9.26,494,248329
2025-10-09,82.94,8.86,501,243885
2025-10-17,82.56,9.16,494,251850
2025-10-23,82.4,9.26,491,254322
2025-10-31,83.11,8.79,495,244103
2025-11-07,82.85,9.02,496,248893
2025-11-14,82.66,9.19,493,253009
2025-11-21,82.19,9.42,492,256714
2025-11-28,82.29,9.41,492,256305
2025-12-05,82.75,9.15,498,251155
2025-12-12,82.86,9.01,489,248396
2025-12-19,81.31,10.02,490,270224
2025-12-26,80.59,10.45,493,280843
2026-01-02,80.39,10.62,505,284344
2026-01-09,80.64,10.37,501,278063
2026-01-16,81.32,9.94,500,269494
2026-01-23,81.61,9.76,501,264597
2026-01-30,81.89,9.58,504,260243
2026-02-06,81.76,9.61,500,260709
2026-02-13,82.19,9.34,505,254160
2026-02-26,82.81,9.0,509,246245
2026-03-06,83.36,8.63,515,239102
2026-03-13,83.41,8.63,514,239777
2026-03-20,83.65,8.52,511,237003
2026-03-27,83.76,8.45,511,235568
2026-04-02,84.05,8.25,511,231109
2026-04-10,85.28,7.46,515,212698
2026-04-17,85.67,7.24,516,208561
2026-04-24,86.02,6.97,516,204253
