日期,開盤(元),最高(元),最低(元),收盤(元),成交量(張),外資買賣超(張),投信買賣超(張),自營商買賣超(張),法人合計(張),融資餘額(張),融券餘額(張),融資買進(張),融券賣出(張),MA5(元),MA10(元),MA20(元),MA60(元),Vol_MA5(張),Vol_MA20(張),MACD(元),MACD_Signal(元),MACD_Hist(元),K值(%),D值(%),RSI14(%),BB_Upper(元),BB_Mid(元),BB_Lower(元),BB_%B(%),BIAS5(%),BIAS20(%),量比(倍),訊號
2025-07-23,253.19,254.15,251.75,253.67,15442,-4328.0,-2300.0,282.0,-6346.0,15550,564,463,299,,,,,,,,,,,,,,,,,,,,法人強勢賣超 | 外投同步拋售
2025-07-24,255.11,258.94,254.15,257.99,15476,2128.0,-1411.0,222.0,939.0,15411,496,343,101,,,,,,,,,,,,100.0,,,,,,,,RSI超買
2025-07-25,258.94,259.42,256.07,257.51,7672,-1186.0,1028.0,-123.0,-281.0,15520,635,289,156,,,,,,,,,,,,99.15,,,,,,,,RSI超買
2025-07-28,257.99,260.86,257.99,260.86,14070,4331.0,-879.0,205.0,3657.0,15331,534,365,34,,,,,,,,,,,,99.2,,,,,,,,RSI超買
2025-07-29,260.38,260.38,254.15,256.55,13055,-2491.0,-691.0,-224.0,-3406.0,15326,505,480,35,257.32,,,,13143,,,,,,,91.6,,,,,-0.3,,0.99,RSI超買 | 外投同步拋售
2025-07-30,257.99,258.94,254.63,258.94,10254,380.0,1233.0,29.0,1642.0,15300,643,167,151,258.37,,,,12105,,,,,,,91.97,,,,,0.22,,0.85,RSI超買 | 外投同步買進
2025-07-31,260.38,273.33,258.94,269.97,46993,24982.0,-238.0,432.0,25176.0,14163,552,1099,155,260.77,,,,18409,,,,,,,93.4,,,,,3.53,,2.55,RSI超買 | 法人強勢買超
2025-08-04,269.97,272.37,268.06,269.49,17019,4771.0,236.0,-219.0,4788.0,13920,579,549,62,263.16,,,,20278,,,,,,,92.63,,,,,2.41,,0.84,RSI超買 | 外投同步買進
2025-08-05,272.37,276.21,270.45,276.21,24068,12161.0,17.0,24.0,12202.0,13859,662,1126,109,266.23,,,,22278,,,,,,,93.45,,,,,3.75,,1.08,RSI超買 | 法人強勢買超 | 外投同步買進
2025-08-06,275.25,277.17,273.81,276.69,15743,4541.0,-24.0,-2.0,4515.0,13286,767,304,110,270.26,263.79,,,22815,,,,,,,93.5,,,,,2.38,,0.69,RSI超買
2025-08-07,276.69,281.96,276.21,277.17,20512,5724.0,-1119.0,-0.0,4605.0,13602,805,839,62,273.91,266.14,,,24867,,,,,93.56,,93.56,,,,,1.19,,0.82,RSI超買
2025-08-08,278.61,281.48,277.17,278.61,16215,7259.0,-2179.0,-13.0,5067.0,13482,850,452,67,275.63,268.2,,,18711,,,,,89.55,,93.75,,,,,1.08,,0.87,RSI超買 | 法人強勢買超
