日期,開盤(元),最高(元),最低(元),收盤(元),成交量(張),外資買賣超(張),投信買賣超(張),自營商買賣超(張),法人合計(張),融資餘額(張),融券餘額(張),融資買進(張),融券賣出(張),MA5(元),MA10(元),MA20(元),MA60(元),Vol_MA5(張),Vol_MA20(張),MACD(元),MACD_Signal(元),MACD_Hist(元),K值(%),D值(%),RSI14(%),BB_Upper(元),BB_Mid(元),BB_Lower(元),BB_%B(%),BIAS5(%),BIAS20(%),量比(倍),訊號
2025-04-30,228.59,231.94,227.16,227.64,14727,-3160.0,320.0,136.0,-2704.0,19395,1094,408,75,,,,,,,,,,,,,,,,,,,,
2025-05-02,233.37,239.57,232.89,239.57,30816,13980.0,965.0,251.0,15196.0,18352,1359,588,323,,,,,,,,,,,,100.0,,,,,,,,RSI超買 | 法人強勢買超 | 外投同步買進
2025-05-05,239.57,240.05,233.84,235.28,23725,3405.0,1205.0,-157.0,4453.0,17922,1214,417,80,,,,,,,,,,,,97.31,,,,,,,,RSI超買 | 外投同步買進
2025-05-06,234.8,243.39,233.84,242.43,21424,7314.0,874.0,-437.0,7751.0,18162,1342,935,194,,,,,,,,,,,,97.43,,,,,,,,RSI超買 | 法人強勢買超 | 外投同步買進
2025-05-07,243.39,245.3,238.14,242.43,19075,3810.0,317.0,205.0,4332.0,17690,1360,469,70,237.47,,,,21953,,,,,,,97.43,,,,,2.09,,0.87,RSI超買 | 外投同步買進
2025-05-08,244.34,244.34,239.57,240.05,16552,-3242.0,63.0,116.0,-3063.0,18102,1347,814,44,239.95,,,,22318,,,,,,,95.73,,,,,0.04,,0.74,RSI超買
2025-05-09,241.48,245.3,238.62,244.82,22380,2757.0,187.0,52.0,2996.0,19714,1371,2646,96,241.0,,,,20631,,,,,,,95.88,,,,,1.59,,1.08,RSI超買 | 外投同步買進
2025-05-12,248.16,250.55,244.34,246.73,19756,1593.0,45.0,133.0,1771.0,20762,1628,2697,328,243.29,,,,19837,,,,,,,95.95,,,,,1.41,,1.0,RSI超買 | 外投同步買進
2025-05-13,253.89,255.8,249.12,250.07,31893,2204.0,49.0,880.0,3133.0,20436,1820,3099,265,244.82,,,,21931,,,,,,,96.06,,,,,2.14,,1.45,RSI超買 | 外投同步買進
2025-05-14,255.8,264.39,254.84,263.91,48482,18012.0,726.0,1395.0,20133.0,22081,2392,4886,740,249.12,243.29,,,27813,,,,,,,96.5,,,,,5.94,,1.74,RSI超買 | 法人強勢買超 | 外投同步買進
2025-05-15,263.91,265.82,262.0,264.86,35161,8931.0,954.0,-402.0,9483.0,19507,2474,1314,121,254.08,247.02,,,31534,,,,,91.82,,96.53,,,,,4.24,,1.12,RSI超買 | 法人強勢買超 | 外投同步買進
2025-05-16,264.39,265.34,261.52,262.48,16611,472.0,1436.0,-36.0,1872.0,18873,2425,915,54,257.61,249.31,,,30381,,,,,95.01,,94.44,,,,,1.89,,0.55,RSI超買 | 外投同步買進
2025-05-19,260.57,261.52,253.89,253.89,16552,673.0,813.0,-425.0,1061.0,18034,2247,907,150,259.04,251.17,,,29740,,,,,81.15,89.33,87.11,,,,,-1.99,,0.56,KD死叉 | KD超買 | RSI超買 | 外投同步買進
2025-05-20,257.71,260.09,254.37,254.37,11020,-1213.0,348.0,12.0,-853.0,18484,2265,703,57,259.9,252.36,,,25565,,,,,68.12,81.43,87.17,,,,,-2.13,,0.43,KD死叉 | RSI超買
2025-05-21,255.8,260.09,254.84,259.61,14665,2352.0,517.0,54.0,2923.0,18051,2266,354,118,259.04,254.08,,,18802,,,,,63.99,71.09,87.83,,,,,0.22,,0.78,KD死叉 | RSI超買 | 外投同步買進
2025-05-22,255.8,256.75,254.37,255.32,10480,-3736.0,671.0,-95.0,-3160.0,18427,2198,586,29,257.13,255.61,,,13866,,,,,62.06,64.73,83.99,,,,,-0.7,,0.76,KD死叉 | RSI超買
2025-05-23,256.75,257.23,251.02,251.98,10262,-1073.0,-339.0,-462.0,-1874.0,18004,2144,477,27,255.03,256.32,,,12596,,,,,48.47,58.18,81.02,,,,,-1.2,,0.81,KD死叉 | RSI超買 | 外投同步拋售
2025-05-26,251.98,256.27,251.5,253.41,8825,2916.0,-66.0,-518.0,2332.0,17726,2139,340,85,254.94,256.99,,,11050,,,,,28.13,46.22,81.33,,,,,-0.6,,0.8,KD死叉 | RSI超買
2025-05-27,253.89,257.71,252.93,253.89,8954,533.0,20.0,-513.0,40.0,17786,2129,277,34,254.84,257.37,,,10637,,,,,17.56,31.39,81.43,,,,,-0.37,,0.84,KD超賣 | RSI超買 | 外投同步買進
2025-05-28,257.71,259.61,255.8,256.75,16103,4630.0,-315.0,4.0,4319.0,16725,2181,334,83,254.27,256.66,249.97,,10925,19873,,,,25.18,23.62,82.1,269.86,249.97,230.09,0.6704,0.98,2.71,1.47,KD金叉 | RSI超買
2025-05-29,260.57,263.43,259.14,259.14,26895,1125.0,395.0,450.0,1970.0,18317,2217,2891,110,255.03,256.08,251.55,,14208,20482,,,,41.61,28.12,82.65,268.8,251.55,234.3,0.72,1.61,3.02,1.89,KD金叉 | RSI超買 | 外投同步買進
2025-06-02,257.71,259.14,256.75,258.66,19058,375.0,718.0,-431.0,662.0,17590,2126,252,47,256.37,255.7,252.5,,15967,19894,,,,55.67,40.82,82.1,269.06,252.5,235.95,0.6859,0.89,2.44,1.19,KD金叉 | RSI超買 | 外投同步買進
2025-06-03,261.05,263.43,260.09,262.48,17896,2275.0,1562.0,194.0,4031.0,16997,2217,216,118,258.18,256.56,253.86,,17781,19602,,,,73.11,56.8,83.07,268.86,253.86,238.87,0.7873,1.67,3.4,1.01,KD金叉 | RSI超買 | 外投同步買進
2025-06-04,267.25,270.11,266.3,267.25,23853,4441.0,-640.0,422.0,4223.0,17454,2244,1638,136,260.86,257.85,255.1,,20761,19724,,,,79.64,69.47,84.22,270.22,255.1,239.99,0.9017,2.45,4.76,1.15,KD金叉 | RSI超買
2025-06-05,270.59,273.45,266.77,268.68,16994,1365.0,693.0,121.0,2179.0,16914,2206,781,37,263.24,258.76,256.42,,20939,19620,,,,85.37,79.37,84.56,271.46,256.42,241.37,0.9076,2.07,4.78,0.81,KD超買 | RSI超買 | 外投同步買進
2025-06-06,267.25,267.25,261.05,263.43,15119,-6700.0,-32.0,-482.0,-7214.0,17402,2388,1391,327,264.1,259.57,257.59,,18584,19548,6.81,,,72.7,79.24,77.95,270.8,257.59,244.38,0.7212,-0.25,2.27,0.81,KD死叉 | RSI超買 | 法人強勢賣超 | 外投同步拋售
2025-06-09,265.34,265.82,262.0,263.43,9390,-1636.0,-359.0,-62.0,-2057.0,17063,2392,384,24,265.05,260.71,258.52,,16650,18898,6.59,,,61.42,73.16,77.95,270.5,258.52,246.53,0.7049,-0.61,1.9,0.56,KD死叉 | RSI超買 | 外投同步拋售
2025-06-10,263.91,270.59,263.91,270.59,18289,6802.0,1.0,287.0,7090.0,15934,2128,852,111,266.68,262.43,259.71,,16729,18825,6.92,,,63.11,65.74,80.37,271.51,259.71,247.91,0.9612,1.47,4.19,1.09,KD死叉 | RSI超買 | 法人強勢買超 | 外投同步買進
2025-06-11,271.07,271.55,268.2,270.11,12966,-1414.0,32.0,-3.0,-1385.0,16126,2068,648,14,267.25,264.05,260.71,,14552,17879,7.05,,,71.66,65.39,79.74,272.46,260.71,248.96,0.8998,1.07,3.61,0.89,KD金叉 | RSI超買
