日期,開盤(元),最高(元),最低(元),收盤(元),成交量(張),外資買賣超(張),投信買賣超(張),自營商買賣超(張),法人合計(張),融資餘額(張),融券餘額(張),融資買進(張),融券賣出(張),MA5(元),MA10(元),MA20(元),MA60(元),Vol_MA5(張),Vol_MA20(張),MACD(元),MACD_Signal(元),MACD_Hist(元),K值(%),D值(%),RSI14(%),BB_Upper(元),BB_Mid(元),BB_Lower(元),BB_%B(%),BIAS5(%),BIAS20(%),量比(倍),訊號
2025-06-17,119.15,119.64,118.15,118.15,11021,-216.0,54.0,-35.0,-197.0,7313,24,145,6,,,,,,,,,,,,,,,,,,,,
2025-06-18,117.53,118.65,117.28,117.28,6844,-315.0,140.0,-35.0,-210.0,7363,21,89,2,,,,,,,,,,,,0.0,,,,,,,,RSI超賣
2025-06-19,117.28,117.9,114.3,114.43,10800,-761.0,-174.0,-4.0,-939.0,7532,73,263,57,,,,,,,,,,,,0.0,,,,,,,,RSI超賣 | 外投同步拋售
2025-06-20,114.43,115.42,111.95,113.06,35496,1673.0,-1888.0,-18.0,-233.0,7542,38,84,17,,,,,,,,,,,,0.0,,,,,,,,RSI超賣
2025-06-23,111.7,112.82,110.95,112.82,6514,261.0,-31.0,-5.0,225.0,7577,58,87,23,115.15,,,,14135,,,,,,,0.0,,,,,-2.02,,0.46,RSI超賣
2025-06-24,115.05,118.65,114.8,117.53,12659,713.0,179.0,7.0,899.0,7433,59,87,14,115.02,,,,14463,,,,,,,26.99,,,,,2.18,,0.88,RSI超賣 | 外投同步買進
2025-06-25,118.9,119.39,117.53,118.4,8259,199.0,-10.0,-34.0,155.0,7429,54,56,5,115.25,,,,14746,,,,,,,30.71,,,,,2.73,,0.56,
2025-06-26,119.02,119.52,118.15,118.9,7393,707.0,60.0,-190.0,577.0,7356,56,37,3,116.14,,,,14064,,,,,,,32.83,,,,,2.38,,0.53,外投同步買進
2025-06-27,119.64,123.12,119.52,121.75,19446,1885.0,84.0,-302.0,1667.0,7216,66,127,22,117.88,,,,10854,,,,,,,43.44,,,,,3.28,,1.79,外投同步買進
2025-06-30,121.75,122.0,120.39,120.39,6297,-89.0,7.0,-85.0,-167.0,7317,55,169,3,119.39,117.27,,,10811,,,,,,,40.18,,,,,0.84,,0.58,
2025-07-01,121.38,122.74,121.13,121.5,5869,496.0,25.0,6.0,527.0,7111,63,42,9,120.19,117.61,,,9453,,,,,84.33,,43.88,,,,,1.09,,0.62,外投同步買進
2025-07-02,121.38,123.49,121.13,123.24,9478,865.0,75.0,-14.0,926.0,6903,75,31,12,121.16,118.2,,,9697,,,,,87.42,,49.19,,,,,1.72,,0.98,外投同步買進
2025-07-03,124.11,124.61,123.12,123.99,9249,736.0,53.0,-17.0,772.0,6739,77,56,4,122.17,119.16,,,10068,,,,,93.39,88.38,51.33,,,,,1.49,,0.92,KD超買 | 外投同步買進
2025-07-04,124.61,125.6,121.13,121.13,11149,240.0,-654.0,3.0,-411.0,6858,76,220,8,122.05,119.96,,,8408,,,,,84.03,88.28,43.77,,,,,-0.75,,1.33,KD死叉 | KD超買
2025-07-07,121.5,121.88,119.39,120.26,5682,385.0,-300.0,2.0,87.0,6804,73,67,10,122.02,120.71,,,8285,,,,,62.63,80.02,41.75,,,,,-1.44,,0.69,KD死叉
