日期,開盤(元),最高(元),最低(元),收盤(元),成交量(張),外資買賣超(張),投信買賣超(張),自營商買賣超(張),法人合計(張),融資餘額(張),融券餘額(張),融資買進(張),融券賣出(張),MA5(元),MA10(元),MA20(元),MA60(元),Vol_MA5(張),Vol_MA20(張),MACD(元),MACD_Signal(元),MACD_Hist(元),K值(%),D值(%),RSI14(%),BB_Upper(元),BB_Mid(元),BB_Lower(元),BB_%B(%),BIAS5(%),BIAS20(%),量比(倍),訊號
2025-04-22,104.76,106.32,103.57,104.52,7339,434.0,16.0,-16.0,434.0,6890,40,53,2,,,,,,,,,,,,,,,,,,,,外投同步買進
2025-04-23,107.64,109.44,107.04,108.96,9377,266.0,-45.0,-21.0,200.0,6714,38,76,0,,,,,,,,,,,,100.0,,,,,,,,RSI超買
2025-04-24,108.96,108.96,106.8,106.8,6126,-502.0,-2.0,-29.0,-533.0,6783,38,159,1,,,,,,,,,,,,96.39,,,,,,,,RSI超買 | 外投同步拋售
2025-04-25,109.2,110.28,108.72,109.32,7844,531.0,4.0,14.0,549.0,6615,48,104,11,,,,,,,,,,,,96.55,,,,,,,,RSI超買 | 外投同步買進
2025-04-28,110.4,111.0,109.44,109.8,7050,106.0,-52.0,34.0,88.0,6530,51,186,5,107.88,,,,7547,,,,,,,96.58,,,,,1.78,,0.93,RSI超買
2025-04-29,109.8,111.24,109.8,110.64,5294,98.0,-0.0,22.0,120.0,6531,51,126,3,109.1,,,,7138,,,,,,,96.64,,,,,1.41,,0.74,RSI超買
2025-04-30,110.28,112.44,109.32,110.04,8131,242.0,-25.0,-54.0,163.0,6437,49,115,0,109.32,,,,6889,,,,,,,95.44,,,,,0.66,,1.18,RSI超買
2025-05-02,111.24,111.96,110.04,111.24,7191,67.0,-3.0,29.0,93.0,6351,52,116,3,110.21,,,,7102,,,,,,,95.55,,,,,0.93,,1.01,RSI超買
2025-05-05,112.08,112.08,105.48,107.64,12421,118.0,-5.0,-84.0,29.0,6369,77,153,42,109.87,,,,8017,,,,,,,88.14,,,,,-2.03,,1.55,RSI超買
2025-05-06,107.64,109.2,107.04,108.72,5649,451.0,-2.0,-34.0,415.0,6365,100,42,23,109.66,108.77,,,7737,,,,,,,88.43,,,,,-0.86,,0.73,RSI超買
2025-05-07,109.8,110.04,107.64,107.88,5107,4.0,-2.0,-23.0,-21.0,6404,103,100,3,109.1,109.1,,,7700,,,,,42.31,,86.65,,,,,-1.12,,0.66,RSI超買
2025-05-08,108.96,112.08,108.6,111.24,9967,803.0,-2.0,7.0,808.0,6262,107,83,9,109.34,109.33,,,8067,,,,,54.6,,87.72,,,,,1.74,,1.24,RSI超買
2025-05-09,111.84,112.44,110.52,111.36,7483,-424.0,-1.0,-29.0,-454.0,6569,104,391,0,109.37,109.79,,,8125,,,,,67.24,54.72,87.75,,,,,1.82,,0.92,KD金叉 | RSI超買 | 外投同步拋售
2025-05-12,112.56,116.27,112.32,116.27,9837,708.0,-1.0,-6.0,701.0,6538,100,183,20,111.09,110.48,,,7609,,,,,89.08,70.31,89.21,,,,,4.66,,1.29,KD超買 | RSI超買
2025-05-13,118.67,118.91,115.07,115.19,13189,-898.0,-155.0,-2.0,-1055.0,6769,116,334,20,112.39,111.02,,,9117,,,,,85.59,80.64,86.77,,,,,2.49,,1.45,KD超買 | RSI超買 | 外投同步拋售
2025-05-14,116.99,117.59,115.67,117.47,9097,502.0,-255.0,50.0,297.0,6680,131,96,16,114.31,111.7,,,9915,,,,,87.19,87.29,87.54,,,,,2.76,,0.92,KD死叉 | KD超買 | RSI超買
2025-05-15,118.19,118.19,116.63,117.23,6866,90.0,-8.0,-12.0,70.0,6618,133,58,4,115.5,112.42,,,9294,,,,,83.02,85.27,86.97,,,,,1.5,,0.74,KD死叉 | KD超買 | RSI超買
2025-05-16,117.47,119.51,116.63,119.39,7473,447.0,17.0,14.0,478.0,6550,136,45,8,117.11,113.24,,,9292,,,,,91.94,87.38,87.75,,,,,1.95,,0.8,KD超買 | RSI超買 | 外投同步買進
2025-05-19,118.91,118.91,115.07,115.07,9857,-1261.0,-2.0,27.0,-1236.0,6607,134,157,17,116.87,113.98,,,9296,,,,,83.04,86.0,77.71,,,,,-1.54,,1.06,KD死叉 | KD超買 | RSI超買 | 外投同步拋售
2025-05-20,115.55,116.03,114.11,114.11,7581,-474.0,9.0,8.0,-457.0,6464,131,112,4,116.65,114.52,111.64,,8175,8144,,,,70.71,81.9,75.64,119.72,111.64,103.57,0.6526,-2.18,2.21,0.93,KD死叉 | RSI超買
2025-05-21,114.35,117.35,114.35,117.23,6534,525.0,0.0,-34.0,491.0,6278,141,40,13,116.61,115.46,112.28,,7662,8104,,,,62.58,72.11,77.72,119.99,112.28,104.57,0.8211,0.53,4.41,0.85,KD死叉 | RSI超買
2025-05-22,115.79,117.23,115.67,116.99,4461,-100.0,15.0,-14.0,-99.0,6246,152,26,12,116.56,116.03,112.68,,7181,7858,,,,63.36,65.55,77.17,120.5,112.68,104.87,0.7756,0.37,3.82,0.62,KD死叉 | RSI超買
2025-05-23,117.71,117.71,115.31,115.31,4797,-279.0,12.0,-34.0,-301.0,6309,173,100,22,115.74,116.43,113.11,,6646,7791,,,,53.94,59.96,73.29,120.49,113.11,105.72,0.6492,-0.37,1.95,0.72,KD死叉 | RSI超買
2025-05-26,115.67,116.27,114.71,115.19,3563,28.0,-11.0,-27.0,-10.0,6316,200,33,36,115.77,116.32,113.4,,5387,7577,,,,35.72,51.01,73.01,120.61,113.4,106.19,0.624,-0.5,1.58,0.66,KD死叉 | RSI超買
2025-05-27,116.03,116.51,113.99,114.83,5274,-312.0,-6.0,-57.0,-375.0,6378,202,126,10,115.91,116.28,113.65,,4926,7489,,,,19.15,36.27,72.11,120.69,113.65,106.62,0.5837,-0.93,1.04,1.07,KD超賣 | RSI超買 | 外投同步拋售
2025-05-28,116.75,117.95,115.19,116.27,9396,-365.0,2.0,-8.0,-371.0,6477,239,211,40,115.72,116.16,113.93,,5498,7694,2.54,,,25.51,26.79,73.51,120.91,113.93,106.96,0.6675,0.48,2.05,1.71,KD死叉 | RSI超買
2025-05-29,117.23,118.31,116.87,117.47,12524,-295.0,243.0,107.0,55.0,6403,228,94,5,115.81,116.19,114.3,,7111,7913,2.54,,,42.42,29.02,74.66,121.2,114.31,107.41,0.7295,1.43,2.77,1.76,KD金叉 | RSI超買
2025-06-02,117.47,117.47,114.11,114.83,8704,-1132.0,232.0,-12.0,-912.0,6533,225,166,3,115.72,115.73,114.48,,7892,7989,2.29,,,43.83,37.25,67.73,121.23,114.48,107.74,0.5256,-0.77,0.31,1.1,KD金叉
