日期,開盤(元),最高(元),最低(元),收盤(元),成交量(張),外資買賣超(張),投信買賣超(張),自營商買賣超(張),法人合計(張),融資餘額(張),融券餘額(張),融資買進(張),融券賣出(張),MA5(元),MA10(元),MA20(元),MA60(元),Vol_MA5(張),Vol_MA20(張),MACD(元),MACD_Signal(元),MACD_Hist(元),K值(%),D值(%),RSI14(%),BB_Upper(元),BB_Mid(元),BB_Lower(元),BB_%B(%),BIAS5(%),BIAS20(%),量比(倍),訊號
2025-07-24,132.8,132.8,130.56,132.3,8721,-212.0,-16.0,-3.0,-231.0,6955,93,228,2,,,,,,,,,,,,,,,,,,,,外投同步拋售
2025-07-25,132.3,133.29,131.31,131.56,6659,-105.0,126.0,6.0,27.0,6893,93,112,2,,,,,,,,,,,,0.0,,,,,,,,RSI超賣
2025-07-28,131.8,133.05,130.56,132.05,5621,223.0,-17.0,17.0,223.0,6913,93,101,4,,,,,,,,,,,,4.85,,,,,,,,RSI超賣
2025-07-29,131.56,134.78,131.31,132.8,10485,308.0,-13.0,27.0,322.0,6862,91,203,1,,,,,,,,,,,,11.89,,,,,,,,RSI超賣
2025-07-30,133.54,133.79,128.58,129.82,19267,-1390.0,-113.0,134.0,-1369.0,6892,75,388,1,131.71,,,,10151,,,,,,,9.03,,,,,-1.43,,1.9,RSI超賣 | 外投同步拋售
2025-07-31,129.82,131.8,129.57,131.56,11250,150.0,-36.0,172.0,286.0,6800,75,141,3,131.56,,,,10656,,,,,,,20.98,,,,,0.0,,1.06,RSI超賣
2025-08-04,132.05,133.29,130.81,132.8,6898,-306.0,8.0,110.0,-188.0,6694,97,107,23,131.81,,,,10704,,,,,,,28.21,,,,,0.75,,0.64,RSI超賣
2025-08-05,134.78,139.5,134.78,136.52,16284,813.0,3.0,268.0,1084.0,6664,97,390,10,132.7,,,,12837,,,,,,,44.6,,,,,2.88,,1.27,外投同步買進
2025-08-06,136.52,136.77,133.54,134.29,9908,-817.0,13.0,39.0,-765.0,6920,74,369,1,133.0,,,,12721,,,,,,,38.87,,,,,0.97,,0.78,
2025-08-07,135.78,136.77,135.03,135.28,8464,506.0,45.0,40.0,591.0,6841,70,102,1,134.09,132.9,,,10561,,,,,,,42.41,,,,,0.89,,0.8,外投同步買進
2025-08-08,135.28,136.52,135.03,135.28,6038,372.0,-12.0,2.0,362.0,6769,0,66,0,134.83,133.2,,,9518,,,,,58.33,,42.41,,,,,0.33,,0.63,
2025-08-11,134.53,135.03,132.05,134.53,7590,862.0,-154.0,-11.0,697.0,6728,0,90,0,135.18,133.49,,,9657,,,,,59.07,,40.36,,,,,-0.48,,0.79,
2025-08-12,134.53,135.03,133.54,134.53,5413,308.0,-14.0,-29.0,265.0,6707,0,92,0,134.78,133.74,,,7483,,,,,56.78,58.06,40.36,,,,,-0.19,,0.72,KD死叉
2025-08-13,135.28,136.52,134.53,135.53,11239,623.0,-7.0,32.0,648.0,6542,0,139,0,135.03,134.01,,,7749,,,,,56.33,57.39,44.51,,,,,0.37,,1.45,KD死叉
2025-08-14,135.53,135.53,135.53,135.53,0,,,,,6542,0,0,0,135.08,134.58,,,6056,,,,,56.27,56.46,44.51,,,,,0.33,,0.0,KD死叉
2025-08-15,135.53,135.53,135.53,135.53,0,,,,,6533,0,0,0,135.13,134.98,,,4848,,,,,53.68,55.43,44.51,,,,,0.3,,0.0,KD死叉
2025-08-18,135.53,135.53,135.53,135.53,0,,,,,6532,0,0,0,135.33,135.26,,,3330,,,,,58.25,56.07,44.51,,,,,0.15,,0.0,KD金叉
