日期,大戶持股比(%),散戶持股比(%),大戶人數,散戶人數
2025-04-18,62.99,18.09,156,111347
2025-04-25,62.7,18.24,157,111816
2025-05-02,62.56,18.12,155,111304
2025-05-09,62.87,18.07,157,111099
2025-05-16,62.49,18.1,152,110901
2025-05-23,62.49,18.17,154,111141
2025-05-29,62.23,18.28,152,111506
2025-06-06,62.15,18.28,154,111277
2025-06-13,61.87,18.84,152,113133
2025-06-20,61.39,19.01,153,113639
2025-06-27,61.87,18.88,155,113213
2025-07-04,62.48,18.36,154,111335
2025-07-11,62.31,18.35,150,111162
2025-07-18,62.32,18.3,150,111148
2025-07-25,63.16,17.91,152,110037
2025-08-01,63.32,17.99,155,110003
2025-08-08,63.71,17.74,155,109011
2025-08-15,64.07,17.46,155,108112
2025-08-22,100.0,0.0,1,0
2025-08-29,71.8,10.41,372,112490
2025-09-05,71.28,10.78,376,116682
2025-09-12,71.0,10.9,372,118936
2025-09-19,70.54,11.73,370,134491
2025-09-26,68.12,14.13,364,170565
2025-10-03,66.89,14.96,362,180023
2025-10-09,67.08,14.86,369,181513
2025-10-17,66.05,15.69,367,190406
2025-10-23,67.6,14.98,373,191038
2025-10-31,67.22,15.91,366,216853
2025-11-07,66.6,16.58,347,227686
2025-11-14,65.47,17.32,348,238453
2025-11-21,64.95,17.77,357,244188
2025-11-28,64.78,17.86,348,245573
2025-12-05,64.43,18.05,347,248124
2025-12-12,64.28,18.05,346,250775
2025-12-19,63.41,18.72,340,255281
2025-12-26,63.19,18.89,345,256477
2026-01-02,63.16,18.94,344,257038
2026-01-09,65.56,17.18,354,236466
2026-01-16,68.08,15.45,369,223877
2026-01-23,69.13,14.93,377,225514
2026-01-30,68.01,15.87,369,237208
2026-02-06,67.4,16.41,369,240671
2026-02-13,66.96,16.79,368,243857
2026-02-26,69.24,15.07,371,227750
2026-03-06,68.7,15.52,371,233381
2026-03-13,67.59,16.27,374,242807
2026-03-20,68.06,15.95,370,241745
2026-03-27,67.56,16.31,367,246536
2026-04-02,67.18,16.52,367,247923
2026-04-10,68.63,15.43,361,234070
