日期,開盤(元),最高(元),最低(元),收盤(元),成交量(張),外資買賣超(張),投信買賣超(張),自營商買賣超(張),法人合計(張),融資餘額(張),融券餘額(張),融資買進(張),融券賣出(張),MA5(元),MA10(元),MA20(元),MA60(元),Vol_MA5(張),Vol_MA20(張),MACD(元),MACD_Signal(元),MACD_Hist(元),K值(%),D值(%),RSI14(%),BB_Upper(元),BB_Mid(元),BB_Lower(元),BB_%B(%),BIAS5(%),BIAS20(%),量比(倍),訊號
2025-07-02,47.56,47.74,47.37,47.64,75071,-48978.0,1000.0,-21.0,-47999.0,10241,806,261,23,,,,,,,,,,,,,,,,,,,,法人強勢賣超
2025-07-03,48.32,48.57,48.23,48.29,61179,-4313.0,0.0,-390.0,-4703.0,10351,780,927,76,,,,,,,,,,,,100.0,,,,,,,,RSI超買
2025-07-04,48.37,48.46,47.81,47.84,73712,-38239.0,0.0,-1065.0,-39304.0,10444,832,706,91,,,,,,,,,,,,94.94,,,,,,,,RSI超買 | 法人強勢賣超
2025-07-07,47.8,47.8,47.43,47.56,78503,-50980.0,0.0,1887.0,-49093.0,10415,701,276,18,,,,,,,,,,,,91.83,,,,,,,,RSI超買 | 法人強勢賣超
2025-07-08,47.44,47.5,47.21,47.34,50215,-7258.0,1200.0,41.0,-6017.0,9866,735,254,64,47.73,,,,67736,,,,,,,89.35,,,,,-0.82,,0.74,RSI超買 | 法人強勢賣超
2025-07-09,47.34,47.97,47.27,47.83,38540,811.0,1067.0,2237.0,4115.0,9891,498,300,27,47.77,,,,60430,,,,,,,90.0,,,,,0.13,,0.64,RSI超買 | 外投同步買進
2025-07-10,47.98,48.44,47.97,48.38,53089,18872.0,585.0,-635.0,18822.0,9680,517,318,58,47.79,,,,58812,,,,,,,90.69,,,,,1.23,,0.9,RSI超買 | 法人強勢買超 | 外投同步買進
2025-07-11,48.33,48.6,48.25,48.59,44753,983.0,-229.0,560.0,1314.0,9490,453,671,11,47.94,,,,53020,,,,,,,90.94,,,,,1.36,,0.84,RSI超買
2025-07-14,48.56,48.56,48.19,48.3,62301,-30248.0,0.0,-4601.0,-34849.0,9592,292,313,7,48.09,,,,49780,,,,,,,87.38,,,,,0.44,,1.25,RSI超買 | 法人強勢賣超
2025-07-15,48.32,49.06,48.3,48.96,68008,677.0,0.0,-1104.0,-427.0,8735,11,439,0,48.41,48.07,,,53338,,,,,,,88.49,,,,,1.14,,1.28,RSI超買
2025-07-16,49.11,49.64,49.11,49.35,90231,-25615.0,1100.0,128.0,-24387.0,8607,0,468,0,48.72,48.24,,,63676,,,,,87.03,,89.09,,,,,1.29,,1.42,RSI超買 | 法人強勢賣超
2025-07-17,49.55,49.74,49.25,49.64,88235,-52353.0,798.0,2868.0,-48687.0,8051,0,533,0,48.97,48.38,,,70706,,,,,92.9,,89.54,,,,,1.37,,1.25,RSI超買 | 法人強勢賣超
2025-07-18,50.33,50.53,50.23,50.38,105862,-18901.0,1100.0,-1712.0,-19513.0,7818,0,697,0,49.33,48.63,,,82927,,,,,93.2,91.04,90.58,,,,,2.13,,1.28,KD超買 | RSI超買 | 法人強勢賣超
2025-07-21,50.39,50.39,50.04,50.19,75793,-21880.0,0.0,-2843.0,-24723.0,7413,58,405,58,49.7,48.9,,,85626,,,,,93.7,93.27,88.14,,,,,0.99,,0.89,KD超買 | RSI超買 | 法人強勢賣超
2025-07-22,50.19,50.59,49.75,49.85,88841,-12178.0,-1900.0,4886.0,-9192.0,7236,208,347,161,49.88,49.15,,,89792,,,,,85.6,90.83,83.79,,,,,-0.06,,0.99,KD死叉 | KD超買 | RSI超買 | 法人強勢賣超 | 外投同步拋售
2025-07-23,49.9,50.14,49.85,49.99,63767,2185.0,0.0,-3084.0,-899.0,7548,184,484,32,50.01,49.36,,,84500,,,,,78.78,86.03,84.14,,,,,-0.04,,0.75,KD死叉 | RSI超買
2025-07-24,50.29,50.39,50.09,50.29,79660,17840.0,0.0,2320.0,20160.0,7910,256,571,77,50.14,49.55,,,82785,,,,,78.09,80.82,84.88,,,,,0.3,,0.96,KD死叉 | RSI超買 | 法人強勢買超
2025-07-25,50.29,50.39,50.09,50.19,38620,4236.0,0.0,-2316.0,1920.0,8098,216,303,16,50.1,49.71,,,69336,,,,,81.68,79.51,83.47,,,,,0.18,,0.56,KD超買 | RSI超買
2025-07-28,50.49,50.68,50.19,50.34,52313,4018.0,0.0,-453.0,3565.0,8220,220,443,17,50.13,49.92,,,64640,,,,,82.79,80.85,83.91,,,,,0.42,,0.81,KD超買 | RSI超買
2025-07-29,50.34,50.34,49.55,49.75,102624,-32776.0,0.0,6132.0,-26644.0,7932,268,463,64,50.11,50.0,49.04,,67397,69566,,,,65.28,76.58,75.53,51.18,49.04,46.89,0.6665,-0.72,1.45,1.52,KD死叉 | RSI超買 | 法人強勢賣超
2025-07-30,50.09,50.39,49.95,50.29,82807,19647.0,0.0,-1213.0,18434.0,7685,312,177,64,50.17,50.09,49.17,,71205,69953,,,,59.6,69.22,77.72,51.28,49.17,47.06,0.7657,0.24,2.28,1.16,KD死叉 | RSI超買 | 法人強勢買超
2025-07-31,50.39,50.88,50.39,50.83,81566,21118.0,0.0,1538.0,22656.0,7657,578,521,305,50.28,50.21,49.29,,71586,70972,,,,65.56,63.48,79.68,51.49,49.29,47.1,0.85,1.09,3.12,1.14,KD金叉 | RSI超買 | 法人強勢買超
2025-08-01,50.09,50.49,49.95,50.39,98236,-51191.0,0.0,-3688.0,-54879.0,7814,294,645,14,50.32,50.21,49.42,,83509,72198,,,,74.96,66.71,73.97,51.56,49.42,47.29,0.7269,0.14,1.96,1.18,KD金叉 | RSI超買 | 法人強勢賣超
2025-08-04,49.95,50.09,49.7,50.09,85556,21188.0,1300.0,-1212.0,21276.0,7739,372,213,97,50.27,50.2,49.55,,90158,72551,,,,66.67,69.06,70.28,51.51,49.55,47.59,0.638,-0.36,1.09,0.95,KD死叉 | RSI超買 | 法人強勢買超 | 外投同步買進
2025-08-05,50.54,50.73,50.34,50.73,46655,6154.0,1881.0,1620.0,9655.0,7269,389,166,67,50.47,50.29,49.72,,78964,72373,,,,64.16,68.6,73.34,51.45,49.72,47.99,0.7924,0.52,2.03,0.59,KD死叉 | RSI超買 | 法人強勢買超 | 外投同步買進
2025-08-06,50.39,50.39,50.14,50.29,48326,-19228.0,0.0,-628.0,-19856.0,7234,388,240,12,50.47,50.32,49.84,,72068,72862,0.78,,,61.65,64.16,68.14,51.34,49.84,48.34,0.6497,-0.36,0.9,0.67,KD死叉 | 法人強勢賣超
2025-08-07,50.93,51.87,50.93,51.72,125733,63715.0,-2100.0,288.0,61903.0,6421,431,595,114,50.64,50.46,50.01,,80901,76494,0.84,,,79.3,68.37,74.47,51.57,50.01,48.45,1.0496,2.13,3.42,1.55,KD金叉 | RSI超買 | 法人強勢買超
2025-08-08,51.82,51.87,51.57,51.72,59604,6164.0,0.0,-264.0,5900.0,6085,469,160,49,50.91,50.61,50.16,,73175,77237,0.89,,,80.9,73.95,74.47,51.75,50.16,48.58,0.9903,1.59,3.11,0.81,KD超買 | RSI超買 | 法人強勢買超
2025-08-11,51.62,52.36,51.33,52.11,71601,1283.0,0.0,305.0,1588.0,5828,616,282,184,51.31,50.79,50.36,,70384,77702,0.94,,,92.56,84.25,75.98,51.91,50.36,48.8,1.0631,1.56,3.47,1.02,KD超買 | RSI超買
