日期,開盤(元),最高(元),最低(元),收盤(元),成交量(張),外資買賣超(張),投信買賣超(張),自營商買賣超(張),法人合計(張),融資餘額(張),融券餘額(張),融資買進(張),融券賣出(張),MA5(元),MA10(元),MA20(元),MA60(元),Vol_MA5(張),Vol_MA20(張),MACD(元),MACD_Signal(元),MACD_Hist(元),K值(%),D值(%),RSI14(%),BB_Upper(元),BB_Mid(元),BB_Lower(元),BB_%B(%),BIAS5(%),BIAS20(%),量比(倍),訊號
2025-07-23,49.59,49.84,49.54,49.69,63767,2185.0,0.0,-3084.0,-899.0,7548,184,484,32,,,,,,,,,,,,,,,,,,,,
2025-07-24,49.99,50.08,49.79,49.99,79660,17840.0,0.0,2320.0,20160.0,7910,256,571,77,,,,,,,,,,,,100.0,,,,,,,,RSI超買 | 法人強勢買超
2025-07-25,49.99,50.08,49.79,49.89,38620,4236.0,0.0,-2316.0,1920.0,8098,216,303,16,,,,,,,,,,,,97.5,,,,,,,,RSI超買
2025-07-28,50.18,50.38,49.89,50.04,52313,4018.0,0.0,-453.0,3565.0,8220,220,443,17,,,,,,,,,,,,97.6,,,,,,,,RSI超買
2025-07-29,50.04,50.04,49.25,49.45,102624,-32776.0,0.0,6132.0,-26644.0,7932,268,463,64,49.81,,,,67397,,,,,,,83.82,,,,,-0.72,,1.52,RSI超買 | 法人強勢賣超
2025-07-30,49.79,50.08,49.64,49.99,82807,19647.0,0.0,-1213.0,18434.0,7685,312,177,64,49.87,,,,71205,,,,,,,85.79,,,,,0.24,,1.16,RSI超買 | 法人強勢買超
2025-07-31,50.08,50.57,50.08,50.53,81566,21118.0,0.0,1538.0,22656.0,7657,578,521,305,49.98,,,,71586,,,,,,,87.44,,,,,1.1,,1.14,RSI超買 | 法人強勢買超
2025-08-01,49.79,50.18,49.64,50.08,98236,-51191.0,0.0,-3688.0,-54879.0,7814,294,645,14,50.02,,,,83509,,,,,,,79.18,,,,,0.12,,1.18,RSI超買 | 法人強勢賣超
2025-08-04,49.64,49.79,49.4,49.79,85556,21188.0,1300.0,-1212.0,21276.0,7739,372,213,97,49.97,,,,90158,,,,,,,74.31,,,,,-0.36,,0.95,RSI超買 | 法人強勢買超 | 外投同步買進
2025-08-05,50.23,50.43,50.04,50.43,46655,6154.0,1881.0,1620.0,9655.0,7269,389,166,67,50.16,49.99,,,78964,,,,,,,77.59,,,,,0.54,,0.59,RSI超買 | 法人強勢買超 | 外投同步買進
2025-08-06,50.08,50.08,49.84,49.99,48326,-19228.0,0.0,-628.0,-19856.0,7234,388,240,12,50.16,50.02,,,72068,,,,,62.12,,70.89,,,,,-0.34,,0.67,RSI超買 | 法人強勢賣超
2025-08-07,50.62,51.55,50.62,51.41,125733,63715.0,-2100.0,288.0,61903.0,6421,431,595,114,50.34,50.16,,,80901,,,,,79.79,,77.61,,,,,2.13,,1.55,RSI超買 | 法人強勢買超
2025-08-08,51.51,51.55,51.26,51.41,59604,6164.0,0.0,-264.0,5900.0,6085,469,160,49,50.61,50.31,,,73175,,,,,81.3,74.4,77.61,,,,,1.58,,0.81,KD超買 | RSI超買 | 法人強勢買超
2025-08-11,51.31,52.04,51.02,51.8,71601,1283.0,0.0,305.0,1588.0,5828,616,282,184,51.01,50.49,,,70384,,,,,92.91,84.67,79.14,,,,,1.55,,1.02,KD超買 | RSI超買
2025-08-12,51.8,51.95,51.51,51.85,57520,5230.0,0.0,146.0,5376.0,5906,608,390,22,51.29,50.73,,,72557,,,,,92.54,88.92,79.34,,,,,1.09,,0.79,KD超買 | RSI超買 | 法人強勢買超
2025-08-13,52.09,52.34,51.9,52.29,75956,11338.0,0.0,-1840.0,9498.0,6009,673,761,70,51.75,50.96,,,78083,,,,,94.0,93.15,81.02,,,,,1.04,,0.97,KD超買 | RSI超買 | 法人強勢買超
2025-08-14,52.14,52.24,51.9,52.09,57039,-25576.0,-379.0,-388.0,-26343.0,5711,629,344,14,51.89,51.11,,,64344,,,,,94.2,93.58,77.91,,,,,0.39,,0.89,KD超買 | RSI超買 | 法人強勢賣超 | 外投同步拋售
2025-08-15,52.09,52.24,51.75,52.09,52736,-24430.0,0.0,2083.0,-22347.0,5854,606,337,4,52.02,51.32,,,62970,,,,,93.27,93.82,77.91,,,,,0.13,,0.84,KD死叉 | KD超買 | RSI超買 | 法人強勢賣超
2025-08-18,51.9,52.29,51.75,52.24,46297,-9686.0,1000.0,-818.0,-9504.0,5837,630,175,26,52.11,51.56,,,57910,,,,,92.5,93.32,78.63,,,,,0.25,,0.8,KD死叉 | KD超買 | RSI超買 | 法人強勢賣超
2025-08-19,52.24,52.24,52.0,52.14,29426,-5041.0,0.0,-271.0,-5312.0,5669,651,73,31,52.17,51.73,50.86,,52291,67802,,,,91.46,92.41,76.84,52.93,50.86,48.79,0.8092,-0.06,2.52,0.56,KD死叉 | KD超買 | RSI超買 | 法人強勢賣超
2025-08-20,51.51,51.55,50.48,50.67,223799,-131355.0,-1780.0,-203.0,-133338.0,6820,512,1443,123,51.85,51.8,50.91,,81859,75804,,,,64.86,82.94,56.55,52.91,50.91,48.91,0.4404,-2.28,-0.47,2.73,KD死叉 | 法人強勢賣超 | 外投同步拋售
2025-08-21,50.72,51.06,50.72,50.97,73509,-20060.0,-500.0,3810.0,-16750.0,7040,469,467,43,51.62,51.76,50.96,,85153,75496,,,,41.64,65.99,58.94,52.91,50.96,49.01,0.5032,-1.26,0.02,0.86,KD死叉 | 法人強勢賣超 | 外投同步拋售
2025-08-22,51.02,51.06,50.62,50.72,44549,-14678.0,-5500.0,-1698.0,-21876.0,7184,506,362,38,51.35,51.69,51.0,,83516,75793,,,,16.49,41.0,56.17,52.89,51.0,49.11,0.4262,-1.23,-0.55,0.53,KD超賣 | 法人強勢賣超 | 外投同步拋售
2025-08-25,51.41,51.9,51.31,51.65,62750,8263.0,252.0,3387.0,11902.0,6701,691,352,203,51.23,51.67,51.08,,86807,76314,,,,34.05,30.73,63.11,52.94,51.08,49.22,0.6537,0.82,1.12,0.72,KD金叉 | 法人強勢買超 | 外投同步買進
2025-08-26,51.51,51.8,51.26,51.7,40864,-17613.0,-1516.0,565.0,-18564.0,6730,538,129,45,51.14,51.66,51.19,,89094,73226,,,,47.74,32.76,63.44,52.9,51.19,49.49,0.6488,1.1,1.0,0.46,KD金叉 | 法人強勢賣超 | 外投同步拋售
2025-08-27,51.95,52.09,51.85,51.95,90134,-9478.0,-3700.0,3405.0,-9773.0,6834,674,381,147,51.4,51.62,51.29,,62361,73593,0.5,,,70.51,50.76,65.14,52.93,51.29,49.65,0.7012,1.07,1.29,1.45,KD金叉 | 法人強勢賣超 | 外投同步拋售
2025-08-28,51.75,51.85,51.46,51.46,59176,-16478.0,-3100.0,-5377.0,-24955.0,6825,581,251,59,51.5,51.56,51.34,,59495,72473,0.47,,,67.59,61.94,59.31,52.94,51.34,49.74,0.5386,-0.08,0.23,0.99,KD金叉 | 法人強勢賣超 | 外投同步拋售
2025-08-29,51.75,51.9,51.46,51.46,36369,2903.0,0.0,-492.0,2411.0,6696,573,140,5,51.64,51.5,51.41,,57859,69380,0.43,,,63.68,67.26,59.31,52.89,51.41,49.92,0.5183,-0.35,0.1,0.63,KD死叉
